"class","order","family","num.obs"
"Aves","Accipitriformes","Accipitridae",9701
"Aves","Accipitriformes","Pandionidae",2842
"Aves","Anseriformes","Anatidae",48009
"Aves","Caprimulgiformes","Apodidae",249
"Aves","Caprimulgiformes","Caprimulgidae",340
"Aves","Caprimulgiformes","Trochilidae",1496
"Aves","Cathartiformes","Cathartidae",5648
"Aves","Charadriiformes","Alcidae",11721
"Aves","Charadriiformes","Charadriidae",781
"Aves","Charadriiformes","Haematopodidae",6
"Aves","Charadriiformes","Laridae",45621
"Aves","Charadriiformes","Scolopacidae",4468
"Aves","Charadriiformes","Stercorariidae",127
"Aves","Columbiformes","Columbidae",5677
"Aves","Coraciiformes","Alcedinidae",1675
"Aves","Cuculiformes","Cuculidae",209
"Aves","Falconiformes","Falconidae",3363
"Aves","Galliformes","Numididae",1
"Aves","Galliformes","Odontophoridae",1
"Aves","Galliformes","Phasianidae",1957
"Aves","Gaviiformes","Gaviidae",11502
"Aves","Gruiformes","Gruidae",5
"Aves","Gruiformes","Rallidae",83
"Aves","Passeriformes","Alaudidae",82
"Aves","Passeriformes","Bombycillidae",6077
"Aves","Passeriformes","Calcariidae",284
"Aves","Passeriformes","Cardinalidae",1957
"Aves","Passeriformes","Certhiidae",3323
"Aves","Passeriformes","Corvidae",34141
"Aves","Passeriformes","Fringillidae",17001
"Aves","Passeriformes","Hirundinidae",1351
"Aves","Passeriformes","Icteridae",3823
"Aves","Passeriformes","Icteriidae",15
"Aves","Passeriformes","Laniidae",58
"Aves","Passeriformes","Mimidae",3683
"Aves","Passeriformes","Motacillidae",161
"Aves","Passeriformes","Muscicapidae",2
"Aves","Passeriformes","Paridae",17099
"Aves","Passeriformes","Parulidae",72594
"Aves","Passeriformes","Passerellidae",34015
"Aves","Passeriformes","Passeridae",340
"Aves","Passeriformes","Polioptilidae",25
"Aves","Passeriformes","Regulidae",11380
"Aves","Passeriformes","Sittidae",12675
"Aves","Passeriformes","Sturnidae",795
"Aves","Passeriformes","Troglodytidae",4884
"Aves","Passeriformes","Turdidae",21806
"Aves","Passeriformes","Tyrannidae",10849
"Aves","Passeriformes","Vireonidae",11921
"Aves","Pelecaniformes","Ardeidae",3451
"Aves","Piciformes","Picidae",18569
"Aves","Podicipediformes","Podicipedidae",4210
"Aves","Procellariiformes","Hydrobatidae",14
"Aves","Procellariiformes","Oceanitidae",173
"Aves","Procellariiformes","Procellariidae",117
"Aves","Strigiformes","Strigidae",1739
"Aves","Suliformes","Phalacrocoracidae",15690
"Aves","Suliformes","Sulidae",2182
