"kingdom","phylum","class","num.obs"
"Animalia","Annelida","Clitellata",1
"Animalia","Arthropoda","Arachnida",24
"Animalia","Arthropoda","Insecta",247
"Animalia","Chordata","Actinopterygii",10
"Animalia","Chordata","Amphibia",34
"Animalia","Chordata","Aves",76
"Animalia","Chordata","Mammalia",66
"Animalia","Chordata","Reptilia",24
"Animalia","Mollusca","Bivalvia",2
"Animalia","Mollusca","Gastropoda",1
"Animalia","Porifera","Demospongiae",1
"Fungi","Ascomycota","Lecanoromycetes",36
"Fungi","Ascomycota","Pezizomycetes",1
"Fungi","Ascomycota","Sordariomycetes",4
"Fungi","Ascomycota","Taphrinomycetes",1
"Fungi","Basidiomycota","Agaricomycetes",39
"Fungi","Basidiomycota","Dacrymycetes",1
"Fungi","Basidiomycota","Tremellomycetes",1
"Plantae","Bryophyta","Bryopsida",1
"Plantae","Bryophyta","Polytrichopsida",6
"Plantae","Marchantiophyta","Jungermanniopsida",2
"Plantae","Marchantiophyta","Marchantiopsida",1
"Plantae","Tracheophyta","Liliopsida",92
"Plantae","Tracheophyta","Lycopodiopsida",23
"Plantae","Tracheophyta","Magnoliopsida",511
"Plantae","Tracheophyta","Pinopsida",38
"Plantae","Tracheophyta","Polypodiopsida",45
