"","user.id","user.login","count"
"1",1028485,"matt_lachiusa",9
"2",42300,"craigmartin",5
"3",484241,"awoodroof38",5
"4",3488675,"nicolemorton22",4
"5",5360654,"kaandru",4
"6",6168528,"laura_klein",4
"7",2917286,"campostoma",3
"8",5894035,"brads59",3
"9",6168515,"roshers1115",3
"10",6168519,"jstern2022",3
"11",6168586,"brandonm12345",3
"12",1552603,"elizhalasz",2
"13",6168516,"jyns",2
"14",6168518,"torpolo",2
"15",6168531,"carsontruesdell",2
"16",6168533,"keene_w",2
"17",1135157,"anjacollette",1
"18",1423154,"riski",1
"19",1716631,"robon7",1
"20",3007108,"valeriebassett",1
"21",3083380,"jnaffy",1
"22",3089717,"nicolas_a_garza",1
"23",5121309,"brandonhenry27",1
"24",5705478,"elicat",1
"25",5800539,"terraincognita22",1
"26",6135986,"max_marra",1
"27",6168523,"hayschnak",1
